;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;244 x 122 cm (1);;;;;;;;;10;;;;10360952;;;;;37€;;;;;12,42€;;;
7   TABLERO RANURADO FENÓLICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;TABLERO DE MELAMINA BLANCA;;;;;;;;;;;;;;;;;;;;;;;;;;244 x 122 cm (1);;;;;;;;;16;;;;10001705;;;;;42€;;;;;14,09€;;;
;;;;;;;;;;;;CM;;;;;;MM;;;;;;;TABLERO;;;;;;;M2;;CM;;;;;;;;;;MM;;;;;;;;TABLERO;;;;;;M2;;;ROBLE ESPEJO;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;250 x 60;;;;;;12;;;;25101606;;;21€;;;;;;;14€;;244 x 122;;;;;;;;;;3;;10001621;;;;;;13,50€;;;;;;4,53€;;;244 x 122 cm (1);;;;;;;;;;;3;;;;10962056;;;;;16€;;;;;5,37€;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;244 x 122;;;;;;;;;;10;;10001635;;;;;;30€;;;;;;10,07€;;;244 x 122 cm (1);;;;;;;;;;;10;;;;10962063;;;;;37€;;;;;12,42€;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;244 x 122;;;;;;;;;;16;;10001642;;;;;;33€;;;;;;11,07€;;;244 x 122 cm (1);;;;;;;;;;;16;;;;10962070;;;;;42€;;;;;14,09€;;;
(1) Consulta disponibilidad en tu Almacén.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canteado 4 lados;;;;;;;;;;;;;;;;;;;;;;;;;;Canteado 2 largos;;;;;;;;;;;;;;;;;;;;;;;;;;;1 canto plano;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BLANCO                                                            TABLERO                     M2
60 x 40 cm                  10360973
80 x 40 cm                 10360980
120 x 60 cm                10360994
120 x 80 cm                10002146 ROBLE
60 x 30 cm (1)                            10361001";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"TABLERO DE MELAMINA
1.6 cm
CANTOS";;;;;;;;;;;;;;;;;;;;;"TABLERO DE PINO MACIZO
1.8 cm";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5€;;;;;;;;20,83€;;;;BLANCO;;;;;;;;;;;;;;TABLERO;;;;;;M2;;;;CM;;;;;;;;;;;;;;;TABLERO;;;M2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8€;;;;;;;;25€;;;;200 x 30 cm;;;;;;;;;;10156153;;;;16€;;;;;;26,67€;;;;200 x 30;;;;;;;;;25124269;;;;;;15,50€;;;25,83€;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14€;;;;;;;;19,44€;;;;200 x 40 cm;;;;;;;;;;10156160;;;;20€;;;;;;25€;;;;200 x 40;;;;;;;;;25124413;;;;;;18€;;;22,50€;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24€;;;;;;;;25€;;;;200 x 50 cm;;;;;;;;;;10156174;;;;25€;;;;;;25€;;;;200 x 50;;;;;;;;;25124410;;;;;;21€;;;21€;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
